method,celltype,f1
scanorama,Chondrocyte and osteoblast progenitors,0.35285285285285284
scanorama,Di/telencephalon,0.29732620320855613
scanorama,Early chondrocytes,0.18772563176895307
scanorama,Endothelium,0.9021739130434783
scanorama,Extraembryonic mesoderm,0.0
scanorama,Extraembryonic visceral endoderm,0.4819277108433735
scanorama,First heart field,0.10101010101010101
scanorama,Forebrain/midbrain,0.08974358974358974
scanorama,Gut,0.2535211267605634
scanorama,Hepatocytes,0.03418803418803419
scanorama,Hindbrain,0.17548746518105848
scanorama,Intermediate mesoderm,0.04081632653061224
scanorama,Limb mesenchyme progenitors,0.11510791366906475
scanorama,Megakaryocytes,0.0
scanorama,Mesencephalon/MHB,0.17445482866043613
scanorama,Mesenchymal stromal cells,0.005934718100890208
scanorama,Neural crest,0.0
scanorama,Neural crest (PNS glia),0.3701923076923077
scanorama,Neural crest (PNS neurons),0.7534246575342466
scanorama,Neuromesodermal progenitors,0.01904761904761905
scanorama,Neuron progenitor cells,0.49473684210526314
scanorama,Osteoblast progenitors A,0.33573141486810554
scanorama,Osteoblast progenitors B,0.06679035250463822
scanorama,Paraxial mesoderm,0.0
scanorama,Paraxial mesoderm A,0.059322033898305086
scanorama,Placodal area,0.08695652173913043
scanorama,Pre-epidermal keratinocytes,0.2710997442455243
scanorama,Primitive erythroid cells,0.8306620209059233
scanorama,Retinal primordium,0.008913649025069638
scanorama,Roof plate,0.16
scanorama,Skeletal muscle progenitors,0.056818181818181816
scanorama,Somatic mesoderm,0.00554016620498615
scanorama,Spinal cord,0.023391812865497075
scanorama,Spinal cord (dorsal),0.2397003745318352
scanorama,Spinal cord (ventral),0.3145299145299145
scanorama,Splanchnic mesoderm,0.1130820399113082
scanorama,White blood cells,0.39846743295019155
scanorama,floor plate,0.0
